,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
2523,11570,NY,36,14380,2204870.0,2237716.0,14380,153328.9290681502,155613.07371349097
2524,11572,NY,36,16200,1568227.0,1590327.0,16200,96804.13580246913,98168.33333333334
2525,11575,NY,36,9310,382760.0,385003.0,9310,41112.78195488722,41353.705692803436
2526,11576,NY,36,6390,1893988.0,1938042.0,6390,296398.74804381846,303292.95774647885
2527,11577,NY,36,5920,1160487.0,1184059.0,5920,196028.20945945944,200009.9662162162
2528,11579,NY,36,2640,408943.0,416434.0,2640,154902.65151515152,157740.15151515152
2529,11580,NY,36,22430,1529625.0,1541966.0,22430,68195.4971020954,68745.69772625947
2530,11581,NY,36,11070,999682.0,1013435.0,11070,90305.51038843721,91547.87714543812
2531,11590,NY,36,25980,1831140.0,1850307.0,25980,70482.67898383373,71220.4387990762
2532,11596,NY,36,5470,693248.0,704030.0,5470,126736.38025594149,128707.49542961607
2533,11598,NY,36,5770,1238259.0,1270063.0,5770,214602.94627383017,220114.90467937608
2534,11691,NY,36,23000,1003132.0,1014726.0,23000,43614.434782608696,44118.52173913044
2535,11692,NY,36,8890,373451.0,375990.0,8890,42007.986501687294,42293.58830146232
2536,11693,NY,36,5790,305416.0,307814.0,5790,52748.87737478411,53163.03972366148
2537,11694,NY,36,8920,799454.0,808102.0,8920,89624.88789237668,90594.39461883409
2538,11697,NY,36,2240,238755.0,240787.0,2240,106587.05357142857,107494.19642857143
2539,11701,NY,36,15090,902995.0,912655.0,15090,59840.62292909211,60480.78197481776
2540,11702,NY,36,7820,930364.0,942329.0,7820,118972.37851662404,120502.42966751919
2541,11703,NY,36,9430,642951.0,647725.0,9430,68181.4422057264,68687.69883351008
2542,11704,NY,36,21100,1359164.0,1369643.0,21100,64415.35545023697,64911.99052132701
2543,11705,NY,36,4170,467324.0,473811.0,4170,112068.10551558754,113623.74100719424
2544,11706,NY,36,33100,2047326.0,2064327.0,33100,61852.74924471299,62366.374622356496
2545,11709,NY,36,3550,375655.0,381611.0,3550,105818.30985915492,107496.05633802817
2546,11710,NY,36,18080,1909732.0,1934717.0,18080,105626.76991150442,107008.68362831858
2547,11713,NY,36,5490,396772.0,401248.0,5490,72271.76684881603,73087.06739526411
2548,11714,NY,36,12420,1003462.0,1012868.0,12420,80794.04186795492,81551.3687600644
2549,11715,NY,36,2380,240022.0,243032.0,2380,100849.57983193277,102114.28571428571
2550,11716,NY,36,5580,445260.0,449673.0,5580,79795.69892473119,80586.55913978495
2551,11717,NY,36,32470,1251424.0,1257958.0,32470,38540.93008931322,38742.16199568833
2552,11718,NY,36,1730,307083.0,311726.0,1730,177504.62427745666,180188.4393063584
2553,11719,NY,36,1590,149916.0,152034.0,1590,94286.79245283018,95618.8679245283
2554,11720,NY,36,14830,1091902.0,1101190.0,14830,73627.91638570465,74254.21443020903
2555,11721,NY,36,3350,533031.0,542331.0,3350,159113.73134328358,161889.85074626864
2556,11722,NY,36,19450,856486.0,861279.0,19450,44035.26992287918,44281.69665809769
2557,11724,NY,36,1730,637446.0,648855.0,1730,368465.8959537572,375060.69364161853
2558,11725,NY,36,14910,1718544.0,1742969.0,14910,115261.16700201207,116899.32930918846
2559,11726,NY,36,11400,552278.0,556655.0,11400,48445.43859649123,48829.38596491228
2560,11727,NY,36,14890,967448.0,974813.0,14890,64973.00201477502,65467.62928139691
2561,11729,NY,36,15230,997603.0,1005127.0,15230,65502.49507550886,65996.52002626396
2562,11730,NY,36,7680,758780.0,768339.0,7680,98799.47916666667,100044.140625
2563,11731,NY,36,15480,1537885.0,1557153.0,15480,99346.5762273902,100591.27906976744
2564,11732,NY,36,1910,338119.0,343017.0,1910,177025.6544502618,179590.05235602095
2565,11733,NY,36,8840,2545572.0,2572287.0,8840,287960.63348416286,290982.6923076923
2566,11735,NY,36,17850,1497638.0,1513338.0,17850,83901.28851540617,84780.84033613445
2567,11738,NY,36,8480,602668.0,608008.0,8480,71069.3396226415,71699.05660377358
2568,11740,NY,36,4710,521374.0,529301.0,4710,110695.11677282378,112378.13163481954
2569,11741,NY,36,14670,1157402.0,1168006.0,14670,78895.84185412405,79618.67757327881
2570,11742,NY,36,6960,555828.0,560914.0,6960,79860.3448275862,80591.09195402298
